user_id,event_id,probability,prediction,actual_label
5574997,941853303,4.2417412e-07,0,1
5574997,1423412400,3.124114e-11,0,0
5574997,4227005710,1.4980745e-07,0,0
5574997,623506969,0.00040584436,0,0
5574997,1116957623,6.0634455e-05,0,0
7547671,2573061069,1.3494399e-06,0,0
7547671,2433864694,0.9999734,1,0
7547671,3428807031,0.99338454,1,0
7547671,1228445722,0.9692351,1,1
7547671,3891122666,0.99972636,1,0
10329108,40254649,1.0882758e-05,0,1
10329108,1940922842,1.2071941e-06,0,0
10329108,788687116,1.3398659e-06,0,0
10329108,1287318780,0.0011671253,0,0
10329108,86565862,0.14477743,0,0
13301498,4059184428,0.0006480705,0,0
13301498,151676688,0.0559085,0,0
13301498,3802650890,0.0002253871,0,0
13301498,3499428374,0.3776927,0,1
13301498,4002702641,0.0024078763,0,0
13301498,1667438718,9.168487e-08,0,0
13301498,3950787980,5.1105565e-07,0,1
13301498,457253413,4.839145e-07,0,1
14411090,1065213296,3.27857e-05,0,0
14411090,3956443206,0.99996924,1,0
14411090,825060275,0.98700213,1,0
14411090,1073827062,0.9902098,1,1
14411090,753115138,3.0876607e-05,0,1
29002074,2940200534,2.3212958e-10,0,0
29002074,2876585126,2.6861535e-10,0,0
29002074,4126236405,3.171561e-08,0,0
29002074,2653549574,0.0002063227,0,0
29002074,3743521539,3.5540588e-06,0,0
33930603,35091389,2.6003542e-09,0,0
33930603,156494494,0.99813336,1,1
33930603,55071868,3.3790383e-07,0,0
33930603,2590444754,6.185442e-08,0,0
38985694,1013324522,1.2197945e-06,0,0
38985694,3028393247,0.9323162,1,1
38985694,2414905031,1.3978449e-06,0,0
38985694,364913652,0.0016654753,0,0
38985694,996998389,0.0020875102,0,0
38985694,297891426,0.0007159471,0,1
66260844,1395553217,0.10141845,0,0
66260844,897667289,0.99997437,1,0
66260844,1958166234,7.032451e-06,0,0
66260844,2805037878,0.0665272,0,0
66260844,2980258101,0.079019874,0,1
66260844,3558623308,0.86893654,1,0
71688472,3084061084,9.8635755e-05,0,1
71688472,3382409058,1.2774203e-07,0,0
71688472,2315284102,2.962503e-06,0,0
71688472,2466263946,0.00011420491,0,0
71688472,3698076969,0.0013998821,0,0
71688472,3175036170,0.9999877,1,1
71688472,2110243278,0.7588354,1,1
71688472,2841665850,0.98042864,1,1
80379054,3323227161,4.217175e-06,0,0
80379054,281589102,6.293968e-08,0,0
80379054,183271526,1.8173568e-12,0,0
80379054,1396454425,0.00040108705,0,0
80379054,2140447500,0.99997246,1,0
80379054,206713867,0.9999918,1,0
82610705,238236954,0.0002046296,0,0
82610705,2114371180,4.192545e-05,0,1
82610705,1771863286,2.3218392e-07,0,0
82610705,4223365917,0.00049950747,0,0
82610705,4258442948,3.3817916e-05,0,0
82610705,615488222,0.99999857,1,0
88554519,1793386378,0.00027701387,0,0
88554519,570345153,0.9999881,1,0
88554519,2420516619,0.9993389,1,0
88554519,1061559786,0.9852879,1,0
88554519,2893363609,0.9999988,1,1
95170590,3416874251,1.0,1,0
95170590,1827572703,0.001116254,0,0
95170590,1690420493,2.1885748e-08,0,1
95170590,2705765590,3.3246494e-08,0,0
95170590,3751042480,0.008671771,0,0
95170590,1760953513,0.07872185,0,0
95170590,553400622,0.024499763,0,0
95170590,1971885970,0.97503245,1,1
96542289,3555202073,6.0232787e-06,0,0
96542289,3419710650,3.8103888e-06,0,0
96542289,3315946306,1.0753716e-11,0,0
96542289,1383705967,3.8892267e-06,0,0
96542289,3214976127,0.011379918,0,0
96542289,2321729704,0.99999976,1,1
96542289,3033099568,0.98738176,1,0
96542289,3007412705,0.004798928,0,0
96542289,1671385767,0.00023854556,0,0
96542289,4251687494,0.02521958,0,1
96542289,1813185314,0.074548505,0,1
96542289,1893384353,0.9999994,1,1
96542289,1292154219,1.0,1,1
96542289,737340986,0.9994049,1,1
96542289,3080242563,0.9435898,1,1
96542289,1971604001,0.99994767,1,1
96542289,802414638,0.9999044,1,1
96542289,3339581566,0.9999993,1,1
96542289,690774443,0.999972,1,1
96542289,2636152679,0.9972488,1,1
96542289,3841696821,0.9999989,1,1
96542289,1204240464,0.9606413,1,1
96542289,779179812,0.9999652,1,1
96542289,3476214270,0.999951,1,1
96542289,4278185210,0.99999607,1,1
96542289,160567780,0.99999976,1,1
96542289,3418426127,1.0,1,1
96542289,2355101450,1.0,1,1
185422302,1989853635,0.99999857,1,1
185422302,3167570493,0.082650244,0,0
185422302,3011864911,0.9982663,1,0
185422302,1717327799,1.8001148e-06,0,0
185422302,812616126,1.4360019e-10,0,0
185422302,2290279491,0.023095453,0,0
185422302,3951904788,0.99997854,1,1
194257626,3573505398,3.0237113e-06,0,0
194257626,2337799990,0.996329,1,0
194257626,3968521389,0.9995522,1,0
194257626,2929324744,0.5451037,1,0
194257626,51230207,0.9731933,1,1
204568422,96230245,0.0009262264,0,0
204568422,812516824,0.99999917,1,0
204568422,1596398209,0.9997627,1,0
204568422,2363782301,0.99998116,1,1
204568422,1796930021,0.9999968,1,0
210626346,4253811572,4.151965e-08,0,0
210626346,1794508068,7.394207e-10,0,0
210626346,3230361882,1.6342856e-10,0,0
210626346,1718853706,8.0858854e-08,0,0
210626346,690652273,0.86687344,1,0
240521211,551112142,5.132441e-06,0,0
240521211,3598552560,0.9999982,1,0
240521211,3123265999,0.9992111,1,1
240521211,873255426,4.057522e-06,0,0
240521211,1545194399,0.9866643,1,0
240521211,232015242,0.00013242176,0,1
240521211,990256291,0.99992204,1,1
247769793,1919281202,1.3376979e-06,0,0
247769793,3774220029,0.9999654,1,0
247769793,1336517851,0.9979432,1,1
247769793,4260837785,0.0002243832,0,0
247769793,1868823319,0.0027496533,0,0
247769793,1768663573,0.00069600774,0,1
247769793,401945277,0.671501,1,1
249577815,987391849,0.04426661,0,0
249577815,862876550,0.99995506,1,0
249577815,1103170882,0.9989567,1,0
249577815,2582794582,0.999998,1,0
249577815,2628690308,1.0,1,0
249577815,1990647154,1.0,1,1
249577815,530842823,3.4527356e-10,0,0
249577815,1676394036,0.96680063,1,1
249577815,2628408888,0.0013112712,0,0
249577815,3089404904,6.4826076e-05,0,0
249577815,2597857228,2.7254357e-06,0,0
252627634,2870286789,0.00040441888,0,0
252627634,2126954914,0.99999666,1,0
252627634,2460426930,0.99991465,1,0
252627634,2420516619,0.9996612,1,0
252627634,753115138,0.941579,1,1
254306319,1926063341,2.7614264e-05,0,0
254306319,371746452,0.9911341,1,1
254306319,70387299,1.9534692e-08,0,0
254306319,3930469318,1.6293284e-07,0,0
254306319,1132221750,5.7105688e-05,0,0
255311196,323513681,0.008860716,0,0
255311196,1455342959,0.9999968,1,1
255311196,2947047490,3.5010908e-07,0,0
255311196,2568338180,0.009285355,0,0
255311196,127255346,0.0029222823,0,0
265682801,3672109301,2.3561458e-07,0,0
265682801,423286334,8.871533e-08,0,0
265682801,645128809,2.417826e-07,0,0
265682801,1853948415,1.7676341e-06,0,1
265682801,4238847438,3.8577755e-06,0,1
265682801,2415873572,1.0,1,1
